Zeitstempel,Smartphone,Einfach QR,Einfach NFC,Einfach BT,Einfach URL,Einfach BLE,Einfach FB,Einfach Whatsapp,Einfach App,Nutzung QR,Nutzung NFC,Nutzung BT,Nutzung URL,Nutzung BLE,Nutzung FB,Nutzung Whatsapp,Nutzung App,Geschlecht,Alter,OS,Kettenhotel,IndivHotel,Kettenrestaurant,IndivRestaurant,KettenCafe,IndivCafe
8/12/2014 19:23:28,Ja,Gut,Befriedigend,Gut,Gut,Keine Angabe,Gut,Gut,Befriedigend,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",Wenige Male zum Ausprobieren,ca. 1 x pro Tag,Wenige Male zum Ausprobieren,männich,19 - 25,"Windows, z.B. Nokia, HTC, etc.",ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat
8/12/2014 19:27:17,Ja,Sehr gut,Gut,Gut,Sehr gut,Keine Angabe,Gut,Gut,Keine Angabe,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,mehrmals täglich,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat
8/12/2014 19:30:47,Ja,Gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Ungenügend,Mangelhaft,Keine Angabe,ca. 1 x pro Woche,"Gar nicht, mein Handy kann das nicht",mehrmals täglich,ca. 1 x pro Tag,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,Wenige Male zum Ausprobieren,männich,19 - 25,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Monat,Selten,ca. 1 x pro Jahr,Selten,mehrmals pro Monat
8/12/2014 19:34:22,Ja,Gut,Befriedigend,Befriedigend,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Mangelhaft,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/12/2014 19:39:15,Ja,Sehr gut,Gut,Sehr gut,Sehr gut,Gut,Sehr gut,Sehr gut,Gut,ca. 1 x pro Woche,ca. 1 x pro Monat,mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat,mehrmals pro Monat
8/12/2014 19:48:06,Ja,Sehr gut,Gut,Gut,Gut,Befriedigend,Befriedigend,Gut,Befriedigend,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,mehrmals täglich,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",Gar nicht,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,Gar nicht,ca. 1 x pro Monat
8/12/2014 19:52:01,Ja,Gut,Befriedigend,Befriedigend,Sehr gut,Keine Angabe,Gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,ca. 1 x pro Tag,"Gar nicht, kenne ich nicht",mehrmals täglich,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",weiblich,36 - 50,"iOS, z.B. Apple iPhone",Selten,Selten,Gar nicht,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat
8/12/2014 20:03:51,Ja,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,36 - 50,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
8/12/2014 20:04:20,Ja,Befriedigend,Keine Angabe,Gut,Gut,Keine Angabe,Mangelhaft,Mangelhaft,Gut,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Tag,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr
8/12/2014 20:08:55,Ja,Sehr gut,Sehr gut,Sehr gut,Sehr gut,Keine Angabe,Befriedigend,Sehr gut,Sehr gut,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,männich,19 - 25,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/12/2014 20:27:39,Ja,Befriedigend,Keine Angabe,Gut,Gut,Keine Angabe,Ungenügend,Gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,ca. 1 x pro Monat,Selten,mehrmals pro Monat,Selten,ca. 1 x pro Monat
8/12/2014 20:28:49,Ja,Sehr gut,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,26 - 35,"iOS, z.B. Apple iPhone",Selten,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/12/2014 20:38:15,Ja,Gut,Gut,Sehr gut,Sehr gut,Ungenügend,Gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,ca. 1 x pro Tag,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,Selten,Selten,ca. 1 x pro Jahr,Gar nicht,ca. 1 x pro Monat
8/12/2014 21:15:08,Ja,Sehr gut,Keine Angabe,Sehr gut,Befriedigend,Keine Angabe,Mangelhaft,Gut,Keine Angabe,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,Selten,Gar nicht,Selten,Gar nicht,Selten
8/12/2014 21:27:33,Ja,Gut,Keine Angabe,Befriedigend,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,"Gar nicht, kenne ich nicht",männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr
8/12/2014 21:40:13,Ja,Sehr gut,Sehr gut,Sehr gut,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,ca. 1 x pro Monat,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Monat,mehrmals täglich,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,mehrmals pro Monat
8/12/2014 22:02:47,Ja,Gut,Sehr gut,Sehr gut,Gut,Befriedigend,Gut,Sehr gut,,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,mehrmals täglich,ca. 1 x pro Tag,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Windows, z.B. Nokia, HTC, etc.",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr,mehrmals pro Monat,ca. 1 x pro Jahr,mehrmals pro Monat
8/12/2014 22:11:24,Ja,Befriedigend,Gut,Gut,Gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht","Gar nicht, ich weiß nicht wie",ca. 1 x pro Tag,mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,Gar nicht,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat
8/12/2014 22:30:11,Ja,Gut,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Gut,Sehr gut,Gut,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,Gar nicht,ca. 1 x pro Monat
8/12/2014 22:43:28,Ja,Keine Angabe,Keine Angabe,Sehr gut,Gut,Keine Angabe,Befriedigend,Gut,Befriedigend,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",mehrmals täglich,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",mehrmals täglich,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat
8/13/2014 0:30:45,Ja,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,,Sehr gut,Gut,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,ca. 1 x pro Woche,männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,ca. 1 x pro Jahr,mehrmals pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 6:38:21,Ja,Gut,Sehr gut,Sehr gut,Keine Angabe,Keine Angabe,Befriedigend,Gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Woche,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,mehrmals täglich,"Gar nicht, kenne ich nicht",männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,Selten,Selten,Selten,Selten,Selten
8/13/2014 8:47:34,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Sehr gut,Sehr gut,Befriedigend,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Monat,ca. 1 x pro Monat,"Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,ca. 1 x pro Tag,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr
8/13/2014 8:58:16,Ja,Sehr gut,Befriedigend,Sehr gut,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,ca. 1 x pro Woche,Wenige Male zum Ausprobieren,ca. 1 x pro Tag,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,mehrmals pro Monat,mehrmals pro Monat,mehrmals pro Monat
8/13/2014 9:20:17,Ja,Befriedigend,Befriedigend,Gut,Sehr gut,Keine Angabe,Gut,Sehr gut,Befriedigend,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/13/2014 9:21:22,Ja,Sehr gut,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Mangelhaft,Sehr gut,Gut,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,Selten,Selten
8/13/2014 9:22:47,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Gut,Mangelhaft,Befriedigend,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Woche,weiblich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,Selten,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr
8/13/2014 9:26:48,Ja,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Gut,Sehr gut,Keine Angabe,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Monat,mehrmals täglich,"Gar nicht, mein Handy kann das nicht",weiblich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat
8/13/2014 9:48:18,Ja,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,19 - 25,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr
8/13/2014 10:00:44,Ja,Gut,Keine Angabe,Gut,Sehr gut,Keine Angabe,Gut,Sehr gut,Mangelhaft,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,Wenige Male zum Ausprobieren,männich,19 - 25,"iOS, z.B. Apple iPhone",Selten,ca. 1 x pro Monat,mehrmals pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,Selten
8/13/2014 10:03:02,Ja,Gut,Gut,Sehr gut,Gut,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
8/13/2014 10:04:13,Ja,Gut,Befriedigend,Sehr gut,Sehr gut,Keine Angabe,Mangelhaft,Befriedigend,Keine Angabe,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Tag,ca. 1 x pro Monat,"Gar nicht, ich weiß nicht wie","Gar nicht, kenne ich nicht",ca. 1 x pro Tag,"Gar nicht, interessiert mich nicht",weiblich,26 - 35,"Windows, z.B. Nokia, HTC, etc.",Selten,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/13/2014 10:09:02,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Keine Angabe,Gut,Keine Angabe,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Woche,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
8/13/2014 10:14:24,Ja,Befriedigend,Keine Angabe,Gut,Gut,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",ca. 1 x pro Monat,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, kenne ich nicht",männich,26 - 35,"Windows, z.B. Nokia, HTC, etc.",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,Selten,mehrmals pro Monat
8/13/2014 10:30:54,Ja,Gut,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Gut,Gut,Gut,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,ca. 1 x pro Monat,weiblich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 10:36:13,Ja,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,ca. 1 x pro Monat,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Monat,mehrmals täglich,"Gar nicht, mein Handy kann das nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, kenne ich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat
8/13/2014 10:37:11,Ja,Gut,Keine Angabe,Befriedigend,Sehr gut,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Monat,ca. 1 x pro Monat,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 10:37:36,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Gut,Sehr gut,Befriedigend,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat
8/13/2014 10:51:26,Ja,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Ungenügend,Gut,Gut,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,mehrmals täglich,ca. 1 x pro Monat,weiblich,19 - 25,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/13/2014 11:07:34,Ja,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Befriedigend,Sehr gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,19 - 25,"iOS, z.B. Apple iPhone",Selten,Selten,Gar nicht,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 11:46:11,Ja,Befriedigend,Keine Angabe,Gut,Gut,Keine Angabe,Gut,Gut,Befriedigend,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,mehrmals pro Monat,Selten,mehrmals pro Monat
8/13/2014 12:05:17,Ja,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,ca. 1 x pro Monat,"Gar nicht, ich weiß nicht wie",ca. 1 x pro Tag,mehrmals täglich,"Gar nicht, kenne ich nicht",männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 12:08:28,Ja,Befriedigend,Keine Angabe,Gut,Gut,Keine Angabe,Ungenügend,Gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,19 - 25,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr,mehrmals pro Monat,Selten,mehrmals pro Monat
