Zeitstempel,Smartphone,Einfach QR,Einfach NFC,Einfach BT,Einfach URL,Einfach BLE,Einfach FB,Einfach Whatsapp,Einfach App,Nutzung QR,Nutzung NFC,Nutzung BT,Nutzung URL,Nutzung BLE,Nutzung FB,Nutzung Whatsapp,Nutzung App,Geschlecht,Alter,OS,Kettenhotel,IndivHotel,Kettenrestaurant,IndivRestaurant,KettenCafe,IndivCafe
8/13/2014 12:09:42,Ja,Sehr gut,Sehr gut,Gut,Gut,Keine Angabe,Keine Angabe,Gut,Gut,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,ca. 1 x pro Tag,"Gar nicht, mein Handy kann das nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,mehrmals pro Monat,ca. 1 x pro Monat
8/13/2014 12:24:05,Ja,Gut,Befriedigend,Sehr gut,Gut,Keine Angabe,Gut,Gut,Keine Angabe,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Monat,ca. 1 x pro Tag,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,Selten
8/13/2014 12:36:17,Ja,Befriedigend,Sehr gut,Sehr gut,Sehr gut,Keine Angabe,Gut,Mangelhaft,Keine Angabe,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",männich,36 - 50,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,mehrmals pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 12:48:36,Ja,Ungenügend,Gut,Sehr gut,Sehr gut,Gut,Befriedigend,Befriedigend,Mangelhaft,"Gar nicht, interessiert mich nicht",Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,ca. 1 x pro Woche,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,mehrmals pro Monat,Selten,mehrmals pro Monat,Selten,mehrmals pro Monat
8/13/2014 12:52:19,Nein,Befriedigend,Gut,Gut,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals täglich,Wenige Male zum Ausprobieren,mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,Selten,ca. 1 x pro Jahr
8/13/2014 13:03:30,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Sehr gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,51 - 65,"Android, z.B. Samsung Galaxy",Gar nicht,ca. 1 x pro Jahr,Selten,Selten,Selten,ca. 1 x pro Monat
8/13/2014 13:10:57,Ja,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Befriedigend,Gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat,mehrmals pro Monat,ca. 1 x pro Monat
8/13/2014 13:11:19,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,ca. 1 x pro Tag,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",männich,26 - 35,"iOS, z.B. Apple iPhone",Gar nicht,ca. 1 x pro Monat,Gar nicht,mehrmals pro Monat,Gar nicht,mehrmals pro Monat
8/13/2014 13:12:18,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Sehr gut,Sehr gut,Sehr gut,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",mehrmals täglich,mehrmals täglich,ca. 1 x pro Woche,männich,51 - 65,"Windows, z.B. Nokia, HTC, etc.",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat,mehrmals pro Monat
8/13/2014 13:20:09,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",weiblich,26 - 35,"Windows, z.B. Nokia, HTC, etc.",Selten,Selten,Selten,Selten,Selten,Selten
8/13/2014 13:21:11,Ja,Ungenügend,Sehr gut,Gut,Ungenügend,Keine Angabe,Mangelhaft,Gut,Keine Angabe,"Gar nicht, interessiert mich nicht",ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,Wenige Male zum Ausprobieren,männich,19 - 25,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat
8/13/2014 13:22:16,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Gut,Sehr gut,Befriedigend,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat,Selten
8/13/2014 13:22:31,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",weiblich,51 - 65,,ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,Selten,Selten,Selten
8/13/2014 13:53:03,Ja,Mangelhaft,Befriedigend,Gut,Mangelhaft,Keine Angabe,Gut,Mangelhaft,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",mehrmals täglich,ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat,mehrmals pro Monat,mehrmals pro Monat,mehrmals pro Monat
8/13/2014 13:58:09,Nein,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,"Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht","Gar nicht, mein Handy kann das nicht",männich,51 - 65,,Gar nicht,Gar nicht,ca. 1 x pro Jahr,Gar nicht,Selten,mehrmals pro Monat
8/13/2014 14:09:30,Ja,Sehr gut,Befriedigend,Befriedigend,Mangelhaft,Keine Angabe,Gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",ca. 1 x pro Monat,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,mehrmals pro Monat
8/13/2014 14:14:59,Ja,Gut,Gut,Sehr gut,Befriedigend,Gut,Gut,Keine Angabe,Gut,ca. 1 x pro Monat,ca. 1 x pro Woche,ca. 1 x pro Woche,ca. 1 x pro Monat,ca. 1 x pro Tag,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Tag,"Gar nicht, ich weiß nicht wie",männich,36 - 50,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Monat,,ca. 1 x pro Monat,Gar nicht,Gar nicht
8/13/2014 14:21:10,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,19 - 25,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,Gar nicht,Selten,Gar nicht
8/13/2014 14:25:13,Ja,Keine Angabe,Keine Angabe,Sehr gut,Befriedigend,Keine Angabe,Gut,Gut,Mangelhaft,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Tag,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,Selten,mehrmals pro Monat,Selten,ca. 1 x pro Monat
8/13/2014 14:53:53,Ja,Gut,Sehr gut,Gut,Mangelhaft,Ungenügend,Ungenügend,Mangelhaft,Mangelhaft,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,mehrmals täglich,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Tag,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,Gar nicht,mehrmals pro Monat
8/13/2014 14:57:44,Ja,Gut,Keine Angabe,Gut,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Jahr,Selten,Selten,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 15:18:12,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Befriedigend,Sehr gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
8/13/2014 15:38:14,Ja,Sehr gut,Keine Angabe,Gut,Gut,Keine Angabe,Befriedigend,Sehr gut,Befriedigend,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,mehrmals täglich,Wenige Male zum Ausprobieren,männich,36 - 50,"iOS, z.B. Apple iPhone",Gar nicht,ca. 1 x pro Jahr,ca. 1 x pro Jahr,mehrmals pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/13/2014 16:38:18,Ja,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,"Gar nicht, kenne ich nicht",weiblich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr
8/13/2014 16:47:22,Ja,Keine Angabe,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht",weiblich,36 - 50,"iOS, z.B. Apple iPhone",Selten,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/13/2014 17:10:42,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",weiblich,19 - 25,"Android, z.B. Samsung Galaxy",Gar nicht,Gar nicht,Gar nicht,Gar nicht,Gar nicht,Gar nicht
8/13/2014 17:33:34,Ja,Gut,Keine Angabe,Sehr gut,Befriedigend,Keine Angabe,Gut,Sehr gut,Gut,Wenige Male zum Ausprobieren,"Gar nicht, mein Handy kann das nicht",ca. 1 x pro Monat,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat,mehrmals pro Monat,mehrmals pro Monat
8/13/2014 18:34:12,Ja,Sehr gut,Keine Angabe,Befriedigend,Keine Angabe,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,36 - 50,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 18:38:43,Ja,Gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Gut,Gut,Befriedigend,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",mehrmals täglich,ca. 1 x pro Woche,ca. 1 x pro Monat,männich,36 - 50,"iOS, z.B. Apple iPhone",Gar nicht,ca. 1 x pro Jahr,ca. 1 x pro Monat,mehrmals pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat
8/13/2014 18:55:07,Ja,Gut,Keine Angabe,Gut,Keine Angabe,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,"Gar nicht, interessiert mich nicht",männich,26 - 35,"Windows, z.B. Nokia, HTC, etc.",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
8/13/2014 19:00:56,Ja,Gut,Gut,Sehr gut,Keine Angabe,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,36 - 50,"Android, z.B. Samsung Galaxy",mehrmals pro Monat,Selten,ca. 1 x pro Jahr,mehrmals pro Monat,Selten,mehrmals pro Monat
8/13/2014 19:17:45,Ja,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",ca. 1 x pro Tag,ca. 1 x pro Tag,"Gar nicht, kenne ich nicht",weiblich,51 - 65,"iOS, z.B. Apple iPhone",Gar nicht,Gar nicht,Gar nicht,Gar nicht,Gar nicht,Gar nicht
8/13/2014 19:24:36,Ja,Befriedigend,Befriedigend,Befriedigend,Befriedigend,Keine Angabe,Keine Angabe,Keine Angabe,Keine Angabe,ca. 1 x pro Monat,"Gar nicht, ich weiß nicht wie",Wenige Male zum Ausprobieren,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht","Gar nicht, kenne ich nicht",männich,36 - 50,"Android, z.B. Samsung Galaxy",mehrmals pro Monat,ca. 1 x pro Jahr,mehrmals pro Monat,ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr
8/13/2014 19:26:12,Ja,Gut,Keine Angabe,Gut,Gut,Keine Angabe,Gut,Gut,Gut,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Jahr,ca. 1 x pro Jahr,ca. 1 x pro Jahr
8/13/2014 19:43:12,Ja,Gut,Keine Angabe,Sehr gut,Keine Angabe,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, ich weiß nicht wie",ca. 1 x pro Woche,"Gar nicht, interessiert mich nicht","Gar nicht, interessiert mich nicht",ca. 1 x pro Tag,mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,26 - 35,"Android, z.B. Samsung Galaxy",ca. 1 x pro Monat,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/13/2014 20:14:09,Ja,Keine Angabe,Keine Angabe,Gut,Gut,Keine Angabe,Mangelhaft,Befriedigend,Keine Angabe,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,19 - 25,"Android, z.B. Samsung Galaxy",mehrmals pro Monat,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat,Selten
8/14/2014 0:05:56,Ja,Keine Angabe,Keine Angabe,Befriedigend,Befriedigend,Keine Angabe,Befriedigend,Sehr gut,Befriedigend,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Tag,mehrmals täglich,ca. 1 x pro Monat,weiblich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,ca. 1 x pro Monat,ca. 1 x pro Monat
8/14/2014 10:19:57,Ja,Befriedigend,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Ungenügend,Sehr gut,Keine Angabe,ca. 1 x pro Monat,"Gar nicht, mein Handy kann das nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, kenne ich nicht",ca. 1 x pro Monat,mehrmals täglich,Wenige Male zum Ausprobieren,männich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,Selten,Gar nicht,ca. 1 x pro Monat
8/14/2014 21:42:01,Ja,Gut,Gut,Gut,Keine Angabe,Keine Angabe,Befriedigend,Sehr gut,Gut,Wenige Male zum Ausprobieren,Wenige Male zum Ausprobieren,ca. 1 x pro Tag,"Gar nicht, kenne ich nicht","Gar nicht, kenne ich nicht",Wenige Male zum Ausprobieren,mehrmals täglich,ca. 1 x pro Monat,männich,26 - 35,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,Selten,Selten
8/14/2014 23:18:24,Ja,Befriedigend,Keine Angabe,Sehr gut,Gut,Keine Angabe,Gut,Sehr gut,Gut,Wenige Male zum Ausprobieren,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,ca. 1 x pro Woche,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,ca. 1 x pro Woche,ca. 1 x pro Monat,männich,36 - 50,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Jahr,,mehrmals pro Monat
8/14/2014 23:28:46,Ja,Sehr gut,Keine Angabe,Gut,Gut,Keine Angabe,Gut,Gut,Keine Angabe,ca. 1 x pro Monat,Wenige Male zum Ausprobieren,ca. 1 x pro Woche,ca. 1 x pro Woche,"Gar nicht, ich weiß nicht wie",mehrmals täglich,mehrmals täglich,"Gar nicht, interessiert mich nicht",weiblich,26 - 35,"iOS, z.B. Apple iPhone",Gar nicht,Gar nicht,Gar nicht,Gar nicht,Gar nicht,Selten
8/15/2014 8:43:42,Ja,Sehr gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Befriedigend,Sehr gut,Gut,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht",ca. 1 x pro Woche,mehrmals täglich,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,weiblich,26 - 35,"iOS, z.B. Apple iPhone",ca. 1 x pro Jahr,Gar nicht,ca. 1 x pro Jahr,ca. 1 x pro Monat,ca. 1 x pro Monat,mehrmals pro Monat
8/15/2014 10:00:04,Ja,Keine Angabe,Keine Angabe,Sehr gut,Gut,Keine Angabe,Keine Angabe,Sehr gut,Keine Angabe,Wenige Male zum Ausprobieren,"Gar nicht, interessiert mich nicht",mehrmals täglich,ca. 1 x pro Monat,"Gar nicht, kenne ich nicht","Gar nicht, interessiert mich nicht",mehrmals täglich,Wenige Male zum Ausprobieren,männich,36 - 50,"Android, z.B. Samsung Galaxy",Selten,Selten,ca. 1 x pro Jahr,ca. 1 x pro Monat,Selten,mehrmals pro Monat
8/15/2014 10:00:14,Ja,Gut,Keine Angabe,Sehr gut,Sehr gut,Keine Angabe,Gut,Keine Angabe,Mangelhaft,ca. 1 x pro Woche,"Gar nicht, mein Handy kann das nicht",mehrmals täglich,mehrmals täglich,"Gar nicht, ich weiß nicht wie",mehrmals täglich,"Gar nicht, interessiert mich nicht",Wenige Male zum Ausprobieren,männich,36 - 50,"iOS, z.B. Apple iPhone",Selten,ca. 1 x pro Jahr,Selten,ca. 1 x pro Monat,Selten,ca. 1 x pro Monat
